La 1 HD,La 1 720
Canal.Punto.2.Puerto.Rico.sv,Canal.Punto.2.Puerto.Rico.sv
Canal.6.de.Puerto.Rico.(WIPR-TV).sv,Canal.6.de.Puerto.Rico.(WIPR-TV).sv
Canal.7.de.Puerto.Rico.(teleisla).sv,Canal.7.de.Puerto.Rico.(teleisla).sv
Canal.13.de.Puerto.Rico.(Teleoro).sv,Canal.13.de.Puerto.Rico.(Teleoro).sv
Canal.WAPA-TV.sv,Canal.WAPA-TV.sv
Canal.WAPA.2.Deportes.sv,Canal.WAPA.2.Deportes.sv
Canal.7.de.Antena.Latina.(República.Dominicana).sv,Canal.7.de.Antena.Latina.(República.Dominicana).sv
Canal.9.de.Color.Visión.(República.Dominicana).sv,Canal.9.de.Color.Visión.(República.Dominicana).sv
Canal.Telesistema.11.(República.Dominicana).sv,Canal.Telesistema.11.(República.Dominicana).sv
Canal.Telecentro.(13.de.República.Dominicana).sv,Canal.Telecentro.(13.de.República.Dominicana).sv
Canal.5.de.República.Dominicana.(Telemicro).sv,Canal.5.de.República.Dominicana.(Telemicro).sv
Canal.15.(Digital.Quince.Telemicro).(República.Dominicana).sv,Canal.15.(Digital.Quince.Telemicro).sv
Canal.21.de.El.Salvador.(Megavisión).sv,Canal.21.de.El.Salvador.(Megavisión).sv
Canal.29.de.TeleUniverso.(República.Dominicana).sv,Canal.29.de.TeleUniverso.sv
Canal.2.de.República.Dominicana.(Teleantillas).sv,Canal.2.(Teleantillas).sv
Canal.37.de.República.Dominicana.(CDN).sv,Canal.37.de.República.Dominicana.(CDN).sv
Canal.Teleunion.(República.Dominicana).sv,Canal.Teleunion.(República.Dominicana).sv
Canal.Televisión.Dominicana.sv,Canal.Televisión.Dominicana.sv
Canal.5.El.Líder.(Honduras).sv,Canal.5.El.Líder.(Honduras).sv
Canal.9.de.Honduras.(Vica).sv,Canal.9.de.Honduras.(Vica).sv
Canal.VTV.Honduras.(Vica.TV).sv,Canal.VTV.Honduras.(Vica.TV).sv
Canal.Telesistema.Informativo.(TSI).(Honduras).sv,Canal.(TSI).(Honduras).sv
Canal.Cine.Mexicano.sv,Canal.Cine.Mexicano.sv
Canal.Cine.Nostalgia.sv,Canal.Cine.Nostalgia.sv
I304.30262.schedulesdirect.org,Fox Sports 1 Sur.ch
I691.16799.schedulesdirect.org,Universa TV.ch
I530.106724.schedulesdirect.org,Star TVE.ch
I24.16800.schedulesdirect.org,Antena 3 Int.ch
I110.70312.schedulesdirect.org,Sony Channel.ch
I432.65060.schedulesdirect.org,MTV 80s.ch
I85.46607.schedulesdirect.org,Azteca 1.ch
I85.46607.schedulesdirect.org,Azteca 1 -1h.ch
I133.105154.schedulesdirect.org,Azteca Cinema.ch
I234.102406.schedulesdirect.org,Azteca 7.ch
I170.61404.schedulesdirect.org,Azcorazon.ch
I684.29058.schedulesdirect.org,Unimas.ch
I239.30259.schedulesdirect.org,E!Entertaiment.ch
I244.45910.schedulesdirect.org,El Gourmet.ch
I196.19234.schedulesdirect.org,Disney Channel.ch
I290.91919.schedulesdirect.org,Food Network.ch
I201.55980.schedulesdirect.org,Distrito Comedia.ch
I168.74528.schedulesdirect.org,Comedy Central.ch
I78.72534.schedulesdirect.org,AXN.ch
I711.98111.schedulesdirect.org,Warner Channel.ch
I529.15688.schedulesdirect.org,Star Ch Lat.ch
I154.111305.schedulesdirect.org,Clic.ch
I643.37232.schedulesdirect.org,Tlnovelas Univision.ch
I311.47374.schedulesdirect.org,Espn 6 Norte.ch
I311.47374.schedulesdirect.org,Espn 6 Sur.ch
I260.25595.schedulesdirect.org,Espn Deportes.ch
I303.61704.schedulesdirect.org,Fox Sports Norte.ch
I306.66365.schedulesdirect.org,Fox Sports 2 Norte.ch
I309.105006.schedulesdirect.org,Fox Sports 3 Norte.ch
I312.123582.schedulesdirect.org,Fox Sports Premium.ch
I304.30262.schedulesdirect.org,Fox Sports Sur.ch
FOX.Sports.2.HD(FSP2HD).co,Fox Sports 2 Sur.co
FOX.Sports.3.HD(FXS3HD).co,Fox Sports 3 Sur.co
I673.57580.schedulesdirect.org,TVC Deportes.ch
608049aefa2b8ae93c2c3a63-66633339ebeb02ee8bd1597c,FIFA+
608049aefa2b8ae93c2c3a63-6477b95b7ba9c0d593859bfc,Cops Español
608049aefa2b8ae93c2c3a63-6018913fa15130002b284197,Cine Sureño
608049aefa2b8ae93c2c3a63-608b7094a09205002da4f291,Free tv Accion
608049aefa2b8ae93c2c3a63-608b7095a09205002da4f295,Free tv Drama
608049aefa2b8ae93c2c3a63-6018913ea15130002b284193,Free tv Estelar
608049aefa2b8ae93c2c3a63-6018913ea15130002b284195,Free tv Saber Mas
608049aefa2b8ae93c2c3a63-60240f57676235002df19f49,Free tv Familia
608049aefa2b8ae93c2c3a63-6018913ea15130002b284191,Free tv Hits
608049aefa2b8ae93c2c3a63-623954128ed2b3b15baecb2c,Free tv Banda
608049aefa2b8ae93c2c3a63-6018913ea15130002b28418f,Free tv Live
608049aefa2b8ae93c2c3a63-64d4e82ac5d4668c9cb7b5df,Novelisima
608049aefa2b8ae93c2c3a63-6490e59918a55242eea95995,Todo Novelas
608049aefa2b8ae93c2c3a63-63489eff90b96ef5e0eb3282,Grjngo
608049aefa2b8ae93c2c3a63-6348a34c1159f6a5ce819b81,Artflix
608049aefa2b8ae93c2c3a63-64f0db77c2bc9b9001d46eaa,Oro TV
608049aefa2b8ae93c2c3a63-639ba57d3f4612cc150a5723,Pitufo Tv
608049aefa2b8ae93c2c3a63-5ef4e1b10d9ad000423c4421,Always Funny en Español
608049aefa2b8ae93c2c3a63-63f0ca427b78030ed9990309,Comba tv
608049aefa2b8ae93c2c3a63-64fba469bb3e0baa5dcc0947,Canela Clasicos
608049aefa2b8ae93c2c3a63-6244f2d33ef43121e567cf13,RCN+
608049aefa2b8ae93c2c3a63-621674f168c966be92737ce6,Conflicto TV
608049aefa2b8ae93c2c3a63-64a355697d24564fba37bab8,Ideas en 5 Minutos
608049aefa2b8ae93c2c3a63-64f0dad7c2bc9b9001d46ea8,Butaca tv
608049aefa2b8ae93c2c3a63-64f0d9a7c2bc9b9001d46ea6,Saborear tv
608049aefa2b8ae93c2c3a63-673675909564224797d5b598,Flou Detonacion
608049aefa2b8ae93c2c3a63-65cd2cf397fb4731f54ecae7,Tastemade Español
